UMAP1,UMAP2,label
-12.9936004,-3.901967328,Testis
5.751638963,4.527643678,Female fetal Gonad
-1.21211427,7.854659611,CJ7 EB14 Ezh2
-1.318869675,6.335053539,EB
-0.969652218,-8.161789971,Kidney
1.655329745,-3.722851603,MesenchymalStemCellsPrimary
-7.491110361,15.35441381,SmallIntestine
5.140259945,0.198667051,EmbryonicMesenchyme
-2.813846357,12.7108021,TrophoblastStemCells
-14.23997853,0.79296559,Brain
-0.653075154,-10.31495017,MammaryGland Virgin
-14.83362448,-5.183909058,Testis
-2.714808003,12.8939103,TrophoblastStemCells
-14.92828415,-5.608242215,Testis
-14.96316034,1.247782548,Brain
5.534636239,-10.23467882,SmallIntestine
4.073330745,10.13523076,EmbryonicStemCells
-12.37229386,-3.706742441,Testis
9.257091634,-15.85632459,MammaryGland Lactation
10.44678559,-15.24790484,MammaryGland Lactation
3.974045298,1.771148327,FetalLung
-15.27938387,-5.86046007,Testis
3.476136784,1.353201681,FetalLung
-3.104445542,12.69182435,TrophoblastStemCells
-9.263819694,9.382930196,EmbryonicMesenchyme
2.642315857,-10.62098914,MammaryGland Virgin
2.865024793,14.91406016,MesenchymalStemCells
-3.162997844,2.17413164,Kidney
-0.933547236,-7.093819473,Liver
-1.114393648,3.427296045,EB
9.50790999,-15.51016753,MammaryGland Lactation
-2.579900896,-7.971726878,Lung
2.925252423,-7.366217019,PeripheralBlood
11.34749225,12.33052665,BoneMarrowcKit
9.318380729,11.86733715,BoneMarrow
15.62585532,4.372022774,Lung
1.562297422,-11.24982307,MammaryGland Involution
